,barrio,price_usd_per_m2,surface_total_clean,rooms_clean,precios_nuevos,precios_aprox_usd_clean,amenities,estacionamiento,sum,pileta,parrilla,gimnasio,lavadero,solarium,quincho,baulera,terraza,expenses,floor_clean
1483,San Telmo,,300.0,1.0,104156.0,104156.0,False,True,False,False,False,False,False,False,False,False,False,,100.0
1484,Palermo,,57.0,,300000.0,300000.0,False,False,False,False,False,False,False,False,False,False,False,,100.0
1485,Palermo,,,1.0,103148.29027468282,102072.29,False,False,False,False,False,False,True,False,False,False,False,,100.0
1486,San Telmo,,300.0,1.0,111100.0,111100.0,True,True,False,True,False,True,True,True,False,True,False,,100.0
1487,Palermo,,,1.0,97265.43723593993,96250.8,False,False,False,False,False,False,True,False,False,False,False,,100.0
1488,Monserrat,,,1.0,107000.0,107000.0,True,True,True,False,True,True,True,True,False,False,False,,100.0
1489,Las Canitas,4190.909090909091,33.0,1.0,138300.0,138300.0,False,True,False,False,False,False,False,False,False,False,False,1100.0,1.0
1498,,,,,165000.0,165000.0,True,True,False,False,True,False,False,False,False,False,True,,100.0
1499,,,,,165000.0,165000.0,True,True,False,False,True,False,False,False,False,False,True,,100.0
1512,,631.0958118187034,1743.0,,1100000.0,1100000.0,True,False,False,True,False,False,True,False,False,False,False,,100.0
1514,,2072.072072072072,222.0,,460000.0,460000.0,True,True,True,True,True,False,True,False,False,True,False,,100.0
1520,Monte Castro,1991.5254237288132,118.0,3.0,235000.0,235000.0,True,True,False,False,False,False,True,False,False,False,True,,100.0
1529,Villa Pueyrredon,1666.666666666667,150.0,4.0,250000.0,250000.0,True,True,False,False,True,False,False,False,False,False,True,,100.0
1530,Monte Castro,,178.0,4.0,355000.0,355000.0,True,False,False,False,True,False,False,False,False,False,True,,100.0
1532,San Cristobal,1600.0,50.0,2.0,80000.0,80000.0,False,False,False,False,False,False,False,False,False,False,False,1000.0,100.0
1533,Barrio Norte,2857.142857142857,42.0,2.0,120000.0,120000.0,True,False,False,False,False,False,True,False,False,False,False,2200.0,100.0
1534,Coghlan,,84.0,3.0,274000.0,274000.0,True,True,True,True,True,False,True,True,False,True,True,,4.0
