,Value,Count
93,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|,271
94,|Argentina|Capital Federal|Coghlan|,259
95,|Argentina|Capital Federal|Retiro|,248
96,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Acassuso|,242
97,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|,238
98,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|Muñiz|,236
99,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,232
100,|Argentina|Capital Federal|Palermo|Palermo Chico|,232
101,|Argentina|Neuquén|Confluencia|,231
102,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Centro|,231
103,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|Monte Grande|,228
104,|Argentina|Capital Federal|Chacarita|,227
105,|Argentina|Capital Federal|Centro / Microcentro|,223
106,|Argentina|Capital Federal|Boca|,223
107,|Argentina|Bs.As. G.B.A. Zona Norte|,222
108,|Argentina|Salta|Salta|,221
109,|Argentina|Buenos Aires Interior|Luján|Luján|,219
110,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|,216
111,|Argentina|Córdoba|Villa Allende|,211
112,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Valentín Alsina|,211
113,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|,211
114,|Argentina|Capital Federal|Constitución|,211
115,|Argentina|Buenos Aires Interior|Rivadavia|Roosevelt|,210
116,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|,209
117,|Argentina|Bs.As. G.B.A. Zona Sur|Ezeiza|Canning|,208
118,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|San Fernando|,206
119,|Argentina|Capital Federal|Villa Lugano|,205
120,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|Manuel B Gonnet|,202
121,|Argentina|Capital Federal|Once|,198
122,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Rincón de Milberg|,198
123,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Belén de Escobar|,194
124,|Argentina|Tucumán|Yerba Buena|,191
125,|Argentina|Neuquén|Neuquén|,190
126,|Argentina|Capital Federal|San Nicolás|,187
127,|Argentina|Capital Federal|Villa Pueyrredón|,175
128,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|Avellaneda|,173
129,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Boulogne Sur Mer|,173
130,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Del Viso|,173
131,|Argentina|Capital Federal|Paternal|,173
132,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,172
133,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Munro|,172
134,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|El Palomar|,172
135,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Garín|,166
136,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Villa Bosch|,162
137,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,161
138,|Argentina|Córdoba|Santa María|,155
139,|Argentina|Mendoza|San Roque|,153
140,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Villa Sarmiento|,152
141,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|,149
142,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Jose Marmol|,148
143,|Argentina|Bs.As. G.B.A. Zona Sur|Esteban Echeverría|Canning|,148
144,|Argentina|Buenos Aires Interior|Luján|,147
145,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Llavallol|,147
146,|Argentina|Capital Federal|Parque Chacabuco|,146
147,|Argentina|Entre Ríos|Paraná|,144
148,|Argentina|Capital Federal|Las Cañitas|,143
149,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|San Antonio De Padua|,141
150,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Villa Adelina|,140
151,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|Wilde|,139
152,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Bernal|,139
153,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|Villa Elisa|,138
154,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Santos Lugares|,137
155,|Argentina|Santa Fe|San Lorenzo|,135
156,|Argentina|Neuquén|Villa La Angostura|,134
157,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Plaza Mitre|,134
158,|Argentina|Santa Fe|Castellanos|,132
159,|Argentina|Mendoza|,130
160,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Haras Santa Maria|,126
161,|Argentina|Buenos Aires Costa Atlántica|Costa Esmeralda|,126
162,|Argentina|Córdoba|La Calera|,125
163,|Argentina|Buenos Aires Costa Atlántica|San Bernardo|,124
164,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Andres|,122
165,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Carapachay|,121
166,|Argentina|Buenos Aires Costa Atlántica|Miramar|,118
167,|Argentina|Entre Ríos|Colón|,117
168,|Argentina|Bs.As. G.B.A. Zona Sur|Berazategui|,115
169,|Argentina|Bs.As. G.B.A. Zona Sur|Berazategui|Berazategui|,114
170,|Argentina|Capital Federal|Abasto|,113
171,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Maschwitz|,108
172,|Argentina|Río Negro|General Roca|,108
173,|Argentina|Córdoba|Villa General Belgrano|,107
174,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|,106
175,|Argentina|Buenos Aires Interior|,106
176,|Argentina|Bs.As. G.B.A. Zona Sur|Presidente Perón|Guernica|,105
177,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Longchamps|,105
178,|Argentina|San Luis|Merlo|,104
179,|Argentina|Bs.As. G.B.A. Zona Norte|José C Paz|,101
180,|Argentina|Chubut|Cushamen|,100
181,|Argentina|Bs.As. G.B.A. Zona Sur|Almirante Brown|Glew|,100
182,|Argentina|Bs.As. G.B.A. Zona Oeste|Hurlingham|,100
183,|Argentina|Mendoza|Mendoza|,99
184,|Argentina|Buenos Aires Interior|Balcarce|,99
185,|Argentina|Capital Federal|Tribunales|,98
186,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,96
187,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Villa Rosa|,96
188,|Argentina|Bs.As. G.B.A. Zona Sur|San Vicente|,95
189,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Chauvín|,94
190,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Santa Barbara Barrio Cerrado|,93
191,|Argentina|Santa Fe|Roldán|,92
192,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Don Torcuato|,92
193,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Güemes|,91
194,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|La Perla|,90
195,|Argentina|Santa Fe|Santo Tomé|,90
196,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Barrio San Gabriel|,87
197,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Moreno|,87
198,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Delta|,86
199,|Argentina|Capital Federal|Villa Ortuzar|,86
200,|Argentina|Mendoza|San Rafael|,85
201,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Martín Coronado|,84
202,|Argentina|Bs.As. G.B.A. Zona Oeste|General Rodríguez|,83
203,|Argentina|La Pampa|Santa Rosa|,82
204,|Argentina|Córdoba|Mendiolaza|,81
205,|Argentina|Buenos Aires Interior|General Pueyrredón|,81
206,|Argentina|Buenos Aires Interior|Tres Arroyos|,80
207,|Argentina|Buenos Aires Costa Atlántica|Mar de Ajó|,80
208,|Argentina|Capital Federal|Monte Castro|,79
209,|Argentina|Bs.As. G.B.A. Zona Norte|Malvinas Argentinas|Los Polvorines|,79
210,|Argentina|Tucumán|,77
211,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|,77
212,|Argentina|Santa Fe|Funes|,77
213,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|General Pacheco|,77
214,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Sáenz Peña|,76
215,|Argentina|Neuquén|San Martín de los Andes|,75
216,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Constitución|,75
217,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Mayling Club de Campo|,74
218,|Argentina|Santa Fe|Esperanza|,74
219,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Jose Leon Suarez|,73
220,|Argentina|Buenos Aires Costa Atlántica|Monte Hermoso|,71
221,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Playa Grande|,71
222,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Villa Martelli|,70
223,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Turdera|,69
224,|Argentina|Capital Federal|Parque Centenario|,68
225,|Argentina|Buenos Aires Interior|Coronel Suárez|Coronel Suárez|,68
226,|Argentina|Santa Fe|Rafaela|,68
